t,cx,cy,theta,Fx,Fy,Mz,Cx,Cy,Cm
0.11250,0.597219,0.499281,0.000061,1.137609e-02,9.439576e-03,2.530563e-05,-0.0569,-0.0472,-0.0003
0.11500,0.597119,0.499255,0.000063,1.096281e-02,9.255678e-03,2.296081e-05,-0.0548,-0.0463,-0.0003
0.11750,0.597018,0.499229,0.000066,1.055503e-02,9.071873e-03,2.130875e-05,-0.0528,-0.0454,-0.0003
0.12000,0.596915,0.499202,0.000068,1.015269e-02,8.887866e-03,1.882524e-05,-0.0508,-0.0444,-0.0002
0.12250,0.596811,0.499175,0.000071,9.755656e-03,8.703257e-03,1.682277e-05,-0.0488,-0.0435,-0.0002
0.12500,0.596705,0.499148,0.000073,9.363934e-03,8.517914e-03,1.417410e-05,-0.0468,-0.0426,-0.0002
0.12750,0.596598,0.499120,0.000076,8.977538e-03,8.331649e-03,1.188300e-05,-0.0449,-0.0417,-0.0001
0.13000,0.596489,0.499092,0.000078,8.596640e-03,8.144425e-03,9.152462e-06,-0.0430,-0.0407,-0.0001
0.13250,0.596380,0.499063,0.000081,8.221403e-03,7.955783e-03,6.745456e-06,-0.0411,-0.0398,-0.0001
0.13500,0.596268,0.499035,0.000083,7.852058e-03,7.765666e-03,4.056256e-06,-0.0393,-0.0388,-0.0001
0.13750,0.596156,0.499005,0.000086,7.488782e-03,7.573478e-03,1.597627e-06,-0.0374,-0.0379,-0.0000
0.14000,0.596042,0.498976,0.000088,7.132011e-03,7.379665e-03,-1.031771e-06,-0.0357,-0.0369,0.0000
0.14250,0.595926,0.498946,0.000091,6.782100e-03,7.184103e-03,-3.432768e-06,-0.0339,-0.0359,0.0000
0.14500,0.595809,0.498916,0.000094,6.439495e-03,6.987063e-03,-5.923604e-06,-0.0322,-0.0349,0.0001
0.14750,0.595691,0.498885,0.000096,6.104624e-03,6.788612e-03,-8.206569e-06,-0.0305,-0.0339,0.0001
0.15000,0.595572,0.498854,0.000099,5.777945e-03,6.588969e-03,-1.051693e-05,-0.0289,-0.0329,0.0001
0.15250,0.595451,0.498823,0.000101,5.460010e-03,6.388197e-03,-1.264670e-05,-0.0273,-0.0319,0.0002
0.15500,0.595328,0.498791,0.000104,5.151298e-03,6.186533e-03,-1.477423e-05,-0.0258,-0.0309,0.0002
0.15750,0.595205,0.498759,0.000107,4.852263e-03,5.984208e-03,-1.671560e-05,-0.0243,-0.0299,0.0002
0.16000,0.595080,0.498727,0.000109,4.563620e-03,5.781628e-03,-1.863014e-05,-0.0228,-0.0289,0.0002
0.16250,0.594954,0.498694,0.000112,4.285886e-03,5.578770e-03,-2.034200e-05,-0.0214,-0.0279,0.0003
0.16500,0.594826,0.498661,0.000115,4.019665e-03,5.375993e-03,-2.199429e-05,-0.0201,-0.0269,0.0003
0.16750,0.594697,0.498627,0.000117,3.765206e-03,5.173546e-03,-2.345322e-05,-0.0188,-0.0259,0.0003
0.17000,0.594567,0.498594,0.000120,3.523070e-03,4.971627e-03,-2.484625e-05,-0.0176,-0.0249,0.0003
0.17250,0.594435,0.498559,0.000122,3.293726e-03,4.770972e-03,-2.607759e-05,-0.0165,-0.0239,0.0003
0.17500,0.594302,0.498525,0.000125,3.077644e-03,4.571843e-03,-2.723724e-05,-0.0154,-0.0229,0.0003
0.17750,0.594168,0.498490,0.000127,2.875058e-03,4.374946e-03,-2.826206e-05,-0.0144,-0.0219,0.0004
0.18000,0.594032,0.498455,0.000130,2.686295e-03,4.180759e-03,-2.920367e-05,-0.0134,-0.0209,0.0004
0.18250,0.593896,0.498420,0.000132,2.511993e-03,3.990425e-03,-2.998327e-05,-0.0126,-0.0200,0.0004
0.18500,0.593757,0.498384,0.000135,2.352586e-03,3.804568e-03,-3.065281e-05,-0.0118,-0.0190,0.0004
0.18750,0.593618,0.498348,0.000137,2.208410e-03,3.623841e-03,-3.117018e-05,-0.0110,-0.0181,0.0004
0.19000,0.593477,0.498311,0.000140,2.079929e-03,3.448955e-03,-3.155065e-05,-0.0104,-0.0172,0.0004
0.19250,0.593335,0.498274,0.000142,1.967410e-03,3.280380e-03,-3.176925e-05,-0.0098,-0.0164,0.0004
0.19500,0.593192,0.498237,0.000144,1.871138e-03,3.118895e-03,-3.184477e-05,-0.0094,-0.0156,0.0004
0.19750,0.593048,0.498200,0.000146,1.791128e-03,2.965390e-03,-3.173633e-05,-0.0090,-0.0148,0.0004
0.20000,0.592902,0.498162,0.000149,1.727265e-03,2.820319e-03,-3.147502e-05,-0.0086,-0.0141,0.0004
0.20250,0.592755,0.498124,0.000151,1.679397e-03,2.684200e-03,-3.102877e-05,-0.0084,-0.0134,0.0004
0.20500,0.592606,0.498085,0.000153,1.647129e-03,2.557202e-03,-3.046097e-05,-0.0082,-0.0128,0.0004
0.20750,0.592457,0.498047,0.000155,1.629858e-03,2.439650e-03,-2.970326e-05,-0.0081,-0.0122,0.0004
0.21000,0.592306,0.498007,0.000157,1.626850e-03,2.331708e-03,-2.887572e-05,-0.0081,-0.0117,0.0004
0.21250,0.592154,0.497968,0.000159,1.637608e-03,2.233504e-03,-2.787527e-05,-0.0082,-0.0112,0.0003
0.21500,0.592001,0.497928,0.000161,1.661799e-03,2.145266e-03,-2.679596e-05,-0.0083,-0.0107,0.0003
0.21750,0.591847,0.497888,0.000162,1.699137e-03,2.067039e-03,-2.556043e-05,-0.0085,-0.0103,0.0003
0.22000,0.591691,0.497848,0.000164,1.749127e-03,1.999015e-03,-2.417700e-05,-0.0087,-0.0100,0.0003
0.22250,0.591534,0.497807,0.000166,1.811321e-03,1.940943e-03,-2.256539e-05,-0.0091,-0.0097,0.0003
0.22500,0.591376,0.497766,0.000167,1.885152e-03,1.892273e-03,-2.081053e-05,-0.0094,-0.0095,0.0003
0.22750,0.591217,0.497725,0.000169,1.969767e-03,1.852640e-03,-1.891457e-05,-0.0098,-0.0093,0.0002
0.23000,0.591057,0.497684,0.000170,2.064066e-03,1.821437e-03,-1.693259e-05,-0.0103,-0.0091,0.0002
0.23250,0.590895,0.497642,0.000171,2.167442e-03,1.797767e-03,-1.490936e-05,-0.0108,-0.0090,0.0002
0.23500,0.590733,0.497600,0.000172,2.278629e-03,1.781453e-03,-1.297551e-05,-0.0114,-0.0089,0.0002
0.23750,0.590569,0.497557,0.000173,2.396748e-03,1.771855e-03,-1.115774e-05,-0.0120,-0.0089,0.0001
0.24000,0.590404,0.497515,0.000174,2.521457e-03,1.768300e-03,-9.431466e-06,-0.0126,-0.0088,0.0001
0.24250,0.590238,0.497472,0.000175,2.652059e-03,1.769712e-03,-7.932347e-06,-0.0133,-0.0088,0.0001
0.24500,0.590071,0.497429,0.000176,2.787512e-03,1.776185e-03,-6.684832e-06,-0.0139,-0.0089,0.0001
0.24750,0.589902,0.497385,0.000177,2.927042e-03,1.788064e-03,-5.876740e-06,-0.0146,-0.0089,0.0001
0.25000,0.589733,0.497342,0.000177,3.070191e-03,1.805289e-03,-5.379229e-06,-0.0154,-0.0090,0.0001
0.25250,0.589562,0.497298,0.000177,3.216535e-03,1.827389e-03,-5.259716e-06,-0.0161,-0.0091,0.0001
0.25500,0.589391,0.497254,0.000178,3.365744e-03,1.853244e-03,-5.488607e-06,-0.0168,-0.0093,0.0001
0.25750,0.589218,0.497209,0.000178,3.517539e-03,1.882884e-03,-6.161314e-06,-0.0176,-0.0094,0.0001
0.26000,0.589044,0.497164,0.000178,3.671499e-03,1.914569e-03,-7.226178e-06,-0.0184,-0.0096,0.0001
0.26250,0.588869,0.497120,0.000178,3.827393e-03,1.948213e-03,-8.862055e-06,-0.0191,-0.0097,0.0001
0.26500,0.588694,0.497074,0.000177,3.984431e-03,1.983159e-03,-1.099171e-05,-0.0199,-0.0099,0.0001
0.26750,0.588517,0.497029,0.000177,4.142432e-03,2.019718e-03,-1.350039e-05,-0.0207,-0.0101,0.0002
0.27000,0.588339,0.496983,0.000176,4.301582e-03,2.057105e-03,-1.634720e-05,-0.0215,-0.0103,0.0002
0.27250,0.588160,0.496938,0.000175,4.461583e-03,2.096454e-03,-1.936687e-05,-0.0223,-0.0105,0.0002
0.27500,0.587980,0.496892,0.000174,4.621769e-03,2.137888e-03,-2.252116e-05,-0.0231,-0.0107,0.0003
0.27750,0.587798,0.496845,0.000173,4.781977e-03,2.181546e-03,-2.574269e-05,-0.0239,-0.0109,0.0003
0.28000,0.587616,0.496799,0.000171,4.942134e-03,2.227585e-03,-2.900324e-05,-0.0247,-0.0111,0.0004
0.28250,0.587433,0.496752,0.000170,5.102651e-03,2.275837e-03,-3.228009e-05,-0.0255,-0.0114,0.0004
0.28500,0.587249,0.496705,0.000168,5.263699e-03,2.327728e-03,-3.553242e-05,-0.0263,-0.0116,0.0004
0.28750,0.587064,0.496658,0.000165,5.425671e-03,2.383106e-03,-3.881029e-05,-0.0271,-0.0119,0.0005
0.29000,0.586878,0.496611,0.000163,5.588757e-03,2.441282e-03,-4.202809e-05,-0.0279,-0.0122,0.0005
0.29250,0.586691,0.496564,0.000160,5.753075e-03,2.502413e-03,-4.528053e-05,-0.0288,-0.0125,0.0006
0.29500,0.586503,0.496516,0.000157,5.919104e-03,2.566884e-03,-4.843682e-05,-0.0296,-0.0128,0.0006
0.29750,0.586314,0.496468,0.000154,6.086985e-03,2.634258e-03,-5.164362e-05,-0.0304,-0.0132,0.0006
0.30000,0.586124,0.496420,0.000150,6.256797e-03,2.704305e-03,-5.470349e-05,-0.0313,-0.0135,0.0007
0.30250,0.585933,0.496372,0.000146,6.428066e-03,2.776666e-03,-5.786521e-05,-0.0321,-0.0139,0.0007
0.30500,0.585741,0.496324,0.000142,6.600914e-03,2.849973e-03,-6.079702e-05,-0.0330,-0.0142,0.0008
0.30750,0.585548,0.496275,0.000137,6.775541e-03,2.923500e-03,-6.382602e-05,-0.0339,-0.0146,0.0008
0.31000,0.585355,0.496227,0.000132,6.951674e-03,2.995716e-03,-6.666536e-05,-0.0348,-0.0150,0.0008
0.31250,0.585160,0.496178,0.000127,7.128399e-03,3.065905e-03,-6.958303e-05,-0.0356,-0.0153,0.0009
0.31500,0.584964,0.496129,0.000121,7.305916e-03,3.133188e-03,-7.236295e-05,-0.0365,-0.0157,0.0009
0.31750,0.584768,0.496080,0.000115,7.483927e-03,3.196860e-03,-7.517108e-05,-0.0374,-0.0160,0.0009
0.32000,0.584570,0.496031,0.000109,7.661629e-03,3.256843e-03,-7.775144e-05,-0.0383,-0.0163,0.0010
0.32250,0.584372,0.495982,0.000102,7.839661e-03,3.313537e-03,-8.023766e-05,-0.0392,-0.0166,0.0010
0.32500,0.584173,0.495932,0.000095,8.017849e-03,3.366802e-03,-8.243900e-05,-0.0401,-0.0168,0.0010
0.32750,0.583973,0.495883,0.000087,8.196169e-03,3.415839e-03,-8.446601e-05,-0.0410,-0.0171,0.0011
0.33000,0.583772,0.495833,0.000079,8.374912e-03,3.459582e-03,-8.633476e-05,-0.0419,-0.0173,0.0011
0.33250,0.583570,0.495783,0.000071,8.553573e-03,3.496412e-03,-8.807882e-05,-0.0428,-0.0175,0.0011
0.33500,0.583368,0.495733,0.000062,8.732379e-03,3.525353e-03,-8.973595e-05,-0.0437,-0.0176,0.0011
0.33750,0.583164,0.495683,0.000052,8.910104e-03,3.546599e-03,-9.130379e-05,-0.0446,-0.0177,0.0011
0.34000,0.582960,0.495633,0.000042,9.086614e-03,3.560253e-03,-9.303520e-05,-0.0454,-0.0178,0.0012
0.34250,0.582755,0.495583,0.000032,9.261290e-03,3.566984e-03,-9.503043e-05,-0.0463,-0.0178,0.0012
0.34500,0.582549,0.495532,0.000021,9.432458e-03,3.568034e-03,-9.766819e-05,-0.0472,-0.0178,0.0012
0.34750,0.582342,0.495482,0.000010,9.599866e-03,3.563112e-03,-1.009324e-04,-0.0480,-0.0178,0.0013
0.35000,0.582134,0.495431,-0.000002,9.762141e-03,3.551399e-03,-1.046944e-04,-0.0488,-0.0178,0.0013
0.35250,0.581925,0.495381,-0.000014,9.918154e-03,3.533995e-03,-1.090678e-04,-0.0496,-0.0177,0.0014
0.35500,0.581716,0.495330,-0.000026,1.006739e-02,3.509720e-03,-1.139434e-04,-0.0503,-0.0175,0.0014
0.35750,0.581506,0.495279,-0.000040,1.020925e-02,3.478074e-03,-1.194216e-04,-0.0510,-0.0174,0.0015
0.36000,0.581295,0.495228,-0.000054,1.034177e-02,3.439498e-03,-1.252746e-04,-0.0517,-0.0172,0.0016
0.36250,0.581083,0.495177,-0.000068,1.046535e-02,3.392237e-03,-1.315091e-04,-0.0523,-0.0170,0.0016
0.36500,0.580871,0.495126,-0.000083,1.057816e-02,3.337324e-03,-1.379378e-04,-0.0529,-0.0167,0.0017
0.36750,0.580658,0.495075,-0.000098,1.068047e-02,3.276596e-03,-1.440813e-04,-0.0534,-0.0164,0.0018
0.37000,0.580443,0.495024,-0.000115,1.076992e-02,3.209225e-03,-1.498605e-04,-0.0538,-0.0160,0.0019
0.37250,0.580229,0.494972,-0.000131,1.084576e-02,3.133608e-03,-1.552479e-04,-0.0542,-0.0157,0.0019
0.37500,0.580013,0.494921,-0.000149,1.090736e-02,3.051870e-03,-1.600246e-04,-0.0545,-0.0153,0.0020
0.37750,0.579797,0.494870,-0.000167,1.095489e-02,2.964503e-03,-1.642333e-04,-0.0548,-0.0148,0.0021
0.38000,0.579579,0.494818,-0.000186,1.098871e-02,2.872638e-03,-1.677898e-04,-0.0549,-0.0144,0.0021
