t,cx,cy,disp_max,disp_rms,det_min,volume,Fx,Fy,p_L2,u_L2
0.00250,0.600000,0.500000,0.000000e+00,0.000000e+00,1.000000e+00,1.255740e-01,3.784619e-13,0.000000e+00,5.065878e-01,4.289851e-03
0.00500,0.599995,0.499999,7.991037e-06,5.158234e-06,9.999899e-01,1.255740e-01,4.640972e-02,1.263170e-02,3.831831e-01,5.727897e-03
0.00750,0.599985,0.499996,2.613523e-05,1.649676e-05,9.999704e-01,1.255740e-01,5.530248e-02,1.521534e-02,2.702785e-01,7.023189e-03
0.01000,0.599970,0.499992,5.433765e-05,3.373127e-05,9.999370e-01,1.255740e-01,5.258174e-02,1.462085e-02,1.991466e-01,8.171653e-03
0.01250,0.599950,0.499986,9.175493e-05,5.627720e-05,9.998909e-01,1.255740e-01,4.726723e-02,1.326537e-02,1.551418e-01,9.202379e-03
0.01500,0.599925,0.499979,1.375145e-04,8.356008e-05,9.998279e-01,1.255740e-01,4.209136e-02,1.190164e-02,1.266924e-01,1.013651e-02
0.01750,0.599897,0.499972,1.907252e-04,1.150932e-04,9.997503e-01,1.255740e-01,3.772274e-02,1.072772e-02,1.073065e-01,1.099040e-02
0.02000,0.599866,0.499963,2.506728e-04,1.504829e-04,9.996599e-01,1.255740e-01,3.419563e-02,9.765404e-03,9.345026e-02,1.177721e-02
0.02250,0.599831,0.499953,3.167740e-04,1.894141e-04,9.995586e-01,1.255740e-01,3.137710e-02,8.986459e-03,8.313960e-02,1.250757e-02
0.02500,0.599794,0.499943,3.885549e-04,2.316334e-04,9.994480e-01,1.255740e-01,2.911474e-02,8.354021e-03,7.520765e-02,1.319004e-02
0.02750,0.599753,0.499931,4.656275e-04,2.769350e-04,9.993296e-01,1.255740e-01,2.727820e-02,7.835159e-03,6.893512e-02,1.383153e-02
0.03000,0.599710,0.499919,5.476707e-04,3.251491e-04,9.992044e-01,1.255740e-01,2.576601e-02,7.403604e-03,6.385930e-02,1.443758e-02
0.03250,0.599665,0.499906,6.344150e-04,3.761335e-04,9.990735e-01,1.255740e-01,2.450211e-02,7.039328e-03,5.967131e-02,1.501272e-02
0.03500,0.599618,0.499893,7.256307e-04,4.297675e-04,9.989376e-01,1.255740e-01,2.343017e-02,6.727334e-03,5.615825e-02,1.556064e-02
0.03750,0.599568,0.499879,8.211200e-04,4.859469e-04,9.987973e-01,1.255739e-01,2.250862e-02,6.456437e-03,5.316929e-02,1.608437e-02
0.04000,0.599516,0.499864,9.207099e-04,5.445812e-04,9.986532e-01,1.255739e-01,2.170653e-02,6.218273e-03,5.059492e-02,1.658645e-02
0.04250,0.599461,0.499849,1.024248e-03,6.055902e-04,9.985057e-01,1.255739e-01,2.100074e-02,6.006537e-03,4.835398e-02,1.706899e-02
0.04500,0.599405,0.499833,1.131597e-03,6.689028e-04,9.983551e-01,1.255739e-01,2.037364e-02,5.816423e-03,4.638511e-02,1.753379e-02
0.04750,0.599347,0.499817,1.242635e-03,7.344549e-04,9.982018e-01,1.255739e-01,1.981170e-02,5.644229e-03,4.464115e-02,1.798240e-02
0.05000,0.599287,0.499800,1.357252e-03,8.021887e-04,9.980459e-01,1.255739e-01,1.930441e-02,5.487063e-03,4.308527e-02,1.841615e-02
0.05250,0.599225,0.499782,1.475344e-03,8.720516e-04,9.978878e-01,1.255738e-01,1.884343e-02,5.342640e-03,4.168832e-02,1.883618e-02
0.05500,0.599161,0.499764,1.596819e-03,9.439951e-04,9.977276e-01,1.255738e-01,1.842212e-02,5.209130e-03,4.042691e-02,1.924351e-02
0.05750,0.599096,0.499746,1.721592e-03,1.017975e-03,9.975655e-01,1.255738e-01,1.803510e-02,5.085051e-03,3.928207e-02,1.963903e-02
0.06000,0.599028,0.499727,1.849582e-03,1.093950e-03,9.974016e-01,1.255738e-01,1.767795e-02,4.969190e-03,3.823825e-02,2.002354e-02
0.06250,0.598959,0.499707,1.980714e-03,1.171881e-03,9.972360e-01,1.255737e-01,1.734704e-02,4.860540e-03,3.728256e-02,2.039773e-02
0.06500,0.598888,0.499687,2.114921e-03,1.251734e-03,9.970689e-01,1.255737e-01,1.703930e-02,4.758262e-03,3.640426e-02,2.076224e-02
0.06750,0.598816,0.499667,2.252135e-03,1.333475e-03,9.969003e-01,1.255737e-01,1.675219e-02,4.661646e-03,3.559428e-02,2.111763e-02
0.07000,0.598742,0.499646,2.392296e-03,1.417073e-03,9.967304e-01,1.255736e-01,1.648350e-02,4.570091e-03,3.484495e-02,2.146443e-02
0.07250,0.598666,0.499624,2.535347e-03,1.502498e-03,9.965592e-01,1.255736e-01,1.623138e-02,4.483077e-03,3.414970e-02,2.180310e-02
0.07500,0.598589,0.499602,2.681232e-03,1.589722e-03,9.963867e-01,1.255736e-01,1.599421e-02,4.400161e-03,3.350290e-02,2.213407e-02
0.07750,0.598510,0.499580,2.829899e-03,1.678719e-03,9.962131e-01,1.255735e-01,1.577058e-02,4.320953e-03,3.289967e-02,2.245773e-02
0.08000,0.598429,0.499558,2.981299e-03,1.769465e-03,9.960384e-01,1.255735e-01,1.555928e-02,4.245116e-03,3.233578e-02,2.277443e-02
0.08250,0.598347,0.499534,3.135386e-03,1.861935e-03,9.958626e-01,1.255735e-01,1.535923e-02,4.172353e-03,3.180754e-02,2.308451e-02
0.08500,0.598264,0.499511,3.292114e-03,1.956108e-03,9.956858e-01,1.255734e-01,1.516949e-02,4.102401e-03,3.131169e-02,2.338828e-02
0.08750,0.598179,0.499487,3.451440e-03,2.051961e-03,9.955081e-01,1.255734e-01,1.498922e-02,4.035026e-03,3.084538e-02,2.368600e-02
0.09000,0.598092,0.499463,3.613324e-03,2.149475e-03,9.953294e-01,1.255733e-01,1.481766e-02,3.970023e-03,3.040609e-02,2.397795e-02
0.09250,0.598005,0.499438,3.777726e-03,2.248629e-03,9.951498e-01,1.255733e-01,1.465417e-02,3.907205e-03,2.999155e-02,2.426436e-02
0.09500,0.597915,0.499413,3.944608e-03,2.349406e-03,9.949694e-01,1.255733e-01,1.449812e-02,3.846405e-03,2.959978e-02,2.454546e-02
